City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,perth,-31.9333,115.8333,29.1,27,0,9.77,AU,1675441893
85,yantal,56.8471,105.2542,-13.16,96,100,2.1,RU,1675442122
86,coahuayana,18.7333,-103.6833,31.43,25,46,1.9,MX,1675442123
87,rocha,-34.4833,-54.3333,19.4,93,86,5.78,UY,1675442123
88,tiksi,71.6872,128.8694,-37.17,99,77,0.83,RU,1675442124
89,clyde river,70.4692,-68.5914,-29.87,63,75,8.75,CA,1675442124
90,stamford,41.0534,-73.5387,-3.22,41,40,10.29,US,1675442113
91,qaqortoq,60.7167,-46.0333,-12.1,69,100,8.68,GL,1675442125
92,annau,37.8876,58.516,3.72,100,75,2.06,TM,1675442126
93,navirai,-23.065,-54.1906,22.23,93,100,3.09,BR,1675442126
94,vaini,-21.2,-175.2,25.09,94,75,7.2,TO,1675442127
95,lebu,-37.6167,-73.65,20.81,62,0,9.43,CL,1675442128
96,provost,52.3501,-110.2683,-15.75,86,60,2.39,CA,1675442128
97,sibolga,1.7427,98.7792,24.33,86,61,1.6,ID,1675442129
98,sterling,39.0062,-77.4286,-0.45,37,20,9.83,US,1675442062
99,havre-saint-pierre,50.2334,-63.5986,-12.8,78,100,10.8,CA,1675442130
100,portland,45.5234,-122.6762,6.08,73,100,1.54,US,1675441671
101,tateyama,34.9833,139.8667,6.17,82,96,4.6,JP,1675442131
102,chuy,-33.6971,-53.4616,20.35,90,96,6.1,UY,1675442131
103,pathein,16.7833,94.7333,22.51,77,20,3.15,MM,1675442132
104,chapais,49.7834,-74.8492,-34.12,82,100,6.64,CA,1675442132
105,morro da fumaca,-28.6508,-49.21,28.3,75,83,2.18,BR,1675442133
106,te anau,-45.4167,167.7167,15.75,95,51,0.51,NZ,1675442133
107,estevan,49.1334,-102.9842,-13.81,78,0,4.63,CA,1675442134
108,santiago del estero,-27.7951,-64.2615,31.94,35,32,3.44,AR,1675442134
109,taywarah,33.35,64.4167,-4.91,88,67,0.38,AF,1675442135
110,phan thiet,10.9333,108.1,23.18,85,97,3.65,VN,1675442135
111,bemidji,47.4736,-94.8803,-20.53,64,100,3.6,US,1675442136
112,berlevag,70.8578,29.0864,-3.0,86,75,4.63,NO,1675442136
113,puerto ayora,-0.7393,-90.3518,28.98,85,20,2.68,EC,1675442137
114,kavieng,-2.5744,150.7967,28.0,74,91,3.93,PG,1675442137
115,padang,-0.9492,100.3543,24.77,85,48,1.65,ID,1675442138
116,bredasdorp,-34.5322,20.0403,21.03,60,0,6.47,ZA,1675442138
117,hamilton,39.1834,-84.5333,-3.31,58,40,5.66,US,1675442066
118,saint-philippe,-21.3585,55.7679,25.77,87,91,6.58,RE,1675442139
119,torbay,47.6666,-52.7314,0.71,95,100,13.89,CA,1675442140
120,goderich,43.7501,-81.7165,-11.16,78,100,9.77,CA,1675442141
121,new norfolk,-42.7826,147.0587,14.72,77,100,0.89,AU,1675442142
122,dargaville,-35.9333,173.8833,19.51,96,100,2.41,NZ,1675442142
123,katsuura,35.1333,140.3,6.83,83,100,4.66,JP,1675442143
124,puerto escondido,15.85,-97.0667,29.68,53,5,2.84,MX,1675442143
125,carnarvon,-24.8667,113.6333,27.15,68,36,1.53,AU,1675442144
126,divnogorsk,55.9594,92.3619,-15.7,98,100,0.93,RU,1675442144
127,salinopolis,-0.6136,-47.3561,26.98,83,66,4.29,BR,1675442145
128,bethel,41.3712,-73.414,-4.99,38,20,6.17,US,1675442145
129,paracuru,-3.41,-39.0306,28.95,59,92,6.54,BR,1675441872
130,chokurdakh,70.6333,147.9167,-30.15,98,95,1.32,RU,1675442146
131,sept-iles,50.2001,-66.3821,-20.53,75,40,10.8,CA,1675441946
132,souillac,-20.5167,57.5167,26.21,89,40,3.09,MU,1675442147
133,saskylakh,71.9167,114.0833,-37.64,100,90,1.61,RU,1675442147
134,vila velha,-20.3297,-40.2925,32.97,56,20,5.66,BR,1675442147
135,burgeo,47.6167,-57.6152,1.3,98,100,13.31,CA,1675442148
136,hambantota,6.1241,81.1185,24.79,89,32,5.33,LK,1675442148
137,ketchikan,55.3422,-131.6461,4.99,93,100,1.54,US,1675442149
138,graaff-reinet,-32.2522,24.5308,28.29,52,3,10.48,ZA,1675442150
139,coquimbo,-29.9533,-71.3436,18.85,77,100,4.12,CL,1675442134
140,kaitangata,-46.2817,169.8464,15.42,97,94,0.9,NZ,1675442150
141,nyurba,63.2842,118.3319,-28.36,100,100,1.25,RU,1675442152
142,talnakh,69.4865,88.3972,-11.85,96,100,2.7,RU,1675442152
143,tuktoyaktuk,69.4541,-133.0374,-41.0,66,0,1.54,CA,1675442153
144,cayenne,4.9333,-52.3333,29.02,74,75,8.23,GF,1675442153
145,leningradskiy,69.3833,178.4167,-33.57,100,100,1.17,RU,1675442154
146,norman wells,65.282,-126.8329,-34.98,68,75,0.0,CA,1675442154
147,alacranes,22.7675,-81.5675,29.27,43,0,1.01,CU,1675442155
148,basco,20.4487,121.9702,23.99,74,33,7.61,PH,1675442155
149,sungaipenuh,-2.0833,101.3833,17.67,93,98,0.77,ID,1675442156
150,hithadhoo,-0.6,73.0833,27.69,70,51,7.27,MV,1675442157
151,thompson,55.7435,-97.8558,-29.91,69,100,1.03,CA,1675442157
152,port blair,11.6667,92.75,26.16,76,6,2.81,IN,1675442158
153,marathon,44.9,-89.7668,-20.19,65,0,2.57,US,1675442159
154,alofi,-19.0595,-169.9187,22.94,94,100,3.09,NU,1675442159
155,sioux lookout,50.1001,-91.917,-29.96,69,20,2.06,CA,1675441901
156,oranjemund,-28.55,16.4333,18.32,81,1,7.18,NA,1675442161
157,hurghada,27.2574,33.8129,18.02,39,0,3.6,EG,1675442162
158,bathsheba,13.2167,-59.5167,29.34,58,40,8.75,BB,1675442162
159,takoradi,4.8845,-1.7554,28.93,70,16,4.95,GH,1675442011
160,qui nhon,13.7667,109.2333,23.2,89,100,2.79,VN,1675442164
161,mount gambier,-37.8333,140.7667,13.57,82,88,4.26,AU,1675442166
162,kjollefjord,70.9457,27.3465,-3.1,68,75,5.14,NO,1675442167
163,lorengau,-2.0226,147.2712,27.12,74,100,0.41,PG,1675442167
164,lompoc,34.6391,-120.4579,15.43,65,75,3.13,US,1675442041
165,ahipara,-35.1667,173.1667,19.7,96,100,2.86,NZ,1675442168
166,lakatoro,-16.0999,167.4164,26.96,84,81,2.21,VU,1675442168
167,santa rosalia,27.3167,-112.2833,17.8,36,79,2.23,MX,1675442169
168,marawi,7.9986,124.2928,19.06,95,65,0.44,PH,1675441790
169,husavik,66.0449,-17.3389,1.49,83,100,5.16,IS,1675442170
